CountyName,EducationRate,Population
Androscoggin,0.14399815016426926,103793
Aroostook,0.1460007032919473,73938
Cumberland,0.3419988554733973,265612
Franklin,0.20901347269827264,29467
Hancock,0.2709930296769709,51791
Kennebec,0.2070034325528972,117114
Knox,0.27521070897372335,40340
Lincoln,0.26600428367444073,33616
Oxford,0.15700849237512557,54755
Penobscot,0.21398628048780488,146944
Piscataquis,0.017554240631163707,15210
Sagadahoc,0.2500141988981655,35214
Somerset,0.11800424461562647,50888
Waldo,0.02933057280883368,2898
Washington,0.14699036563448337,33941
York,0.22900043910850265,186742
